Scale,user_id,sex,age,median_age,sum_score,sum_score_t2,days_to_followup,nfc1,nfc2,nfc3,nfc4,nfc5,nfc6,nfc7,nfc8,nfc9,nfc10,nfc11,nfc12,nfc13,nfc14,nfc15,nfc16,nfc17,nfc18
Need for Cognition,176497,f,19,low,73,73,3.543,4,4,4,5,5,1,6,4,3,6,4,6,1,2,4,2,6,6
Need for Cognition,176507,f,42,high,73,70,0.069,3,5,6,4,5,3,6,4,6,4,5,5,3,5,3,1,3,2
Need for Cognition,176940,f,26,low,69,70,0.006,3,3,5,3,3,5,4,3,3,5,4,4,3,6,4,3,3,5
Need for Cognition,177970,f,49,high,100,101,12.472,6,6,6,6,6,6,6,4,5,6,5,6,6,5,5,5,6,5
Need for Cognition,178964,f,20,low,94,87,0.01,5,6,5,5,6,5,6,5,5,5,6,6,4,6,5,5,5,4
Need for Cognition,179015,f,58,high,80,70,4.072,5,5,6,6,5,2,5,5,5,2,6,6,3,1,5,2,6,5
Need for Cognition,179121,f,48,high,92,92,0.032,5,6,6,6,6,5,6,2,2,6,5,6,6,5,6,4,5,5
Need for Cognition,179126,m,53,high,89,104,0.026,5,5,2,5,5,4,6,5,5,5,6,6,5,5,5,5,6,4
Need for Cognition,179209,m,28,low,94,92,0.446,6,5,5,5,6,6,6,5,2,6,4,5,6,5,4,6,6,6
Need for Cognition,179327,f,37,high,76,71,0.036,5,5,4,4,5,4,4,3,4,5,5,5,4,5,4,3,4,3
Need for Cognition,179345,f,48,high,58,67,2.831,4,5,5,4,4,1,3,5,2,4,5,4,1,1,2,4,2,2
Need for Cognition,179990,m,59,high,93,99,0.577,3,6,5,5,6,3,6,1,6,6,6,6,4,6,6,6,6,6
